blaOXA-23	blaOXA-103
blaOXA-23	blaOXA-133
blaOXA-23	blaOXA-146
blaOXA-23	blaOXA-165
blaOXA-23	blaOXA-166
blaOXA-23	blaOXA-167
blaOXA-23	blaOXA-168
blaOXA-23	blaOXA-169
blaOXA-23	blaOXA-170
blaOXA-23	blaOXA-171
blaOXA-23	blaOXA-225
blaOXA-23	blaOXA-23
blaOXA-23	blaOXA-239
blaOXA-23	blaOXA-27
blaOXA-23	blaOXA-366
blaOXA-23	blaOXA-398
blaOXA-23	blaOXA-422
blaOXA-23	blaOXA-423
blaOXA-23	blaOXA-435
blaOXA-23	blaOXA-440
blaOXA-23	blaOXA-482
blaOXA-23	blaOXA-483
blaOXA-23	blaOXA-49
blaOXA-23	blaOXA-565
blaOXA-23	blaOXA-657
blaOXA-23	blaOXA-73
blaOXA-23	blaOXA-806
blaOXA-23	blaOXA-807
blaOXA-23	blaOXA-808
blaOXA-23	blaOXA-809
blaOXA-23	blaOXA-810
blaOXA-23	blaOXA-811
blaOXA-23	blaOXA-812
blaOXA-23	blaOXA-813
blaOXA-23	blaOXA-814
blaOXA-23	blaOXA-815
blaOXA-23	blaOXA-816
blaOXA-23	blaOXA-817
blaOXA-23	blaOXA-818
blaOXA-23	blaOXA-893
blaOXA-23	blaOXA-911
blaOXA-23	blaOXA-966
blaOXA-23	blaOXA-967
blaOXA-23	blaOXA-968
blaOXA-23	blaOXA-969
blaOXA-24/40	blaOXA-1040
blaOXA-24/40	blaOXA-139
blaOXA-24/40	blaOXA-160
blaOXA-24/40	blaOXA-207
blaOXA-24/40	blaOXA-24
blaOXA-24/40	blaOXA-25
blaOXA-24/40	blaOXA-26
blaOXA-24/40	blaOXA-437
blaOXA-24/40	blaOXA-653
blaOXA-24/40	blaOXA-72
blaOXA-24/40	blaOXA-897
blaOXA-48	blaOXA-1038
blaOXA-48	blaOXA-1039
blaOXA-48	blaOXA-162
blaOXA-48	blaOXA-163
blaOXA-48	blaOXA-181
blaOXA-48	blaOXA-199
blaOXA-48	blaOXA-204
blaOXA-48	blaOXA-232
blaOXA-48	blaOXA-244
blaOXA-48	blaOXA-245
blaOXA-48	blaOXA-247
blaOXA-48	blaOXA-252
blaOXA-48	blaOXA-370
blaOXA-48	blaOXA-405
blaOXA-48	blaOXA-416
blaOXA-48	blaOXA-436
blaOXA-48	blaOXA-438
blaOXA-48	blaOXA-439
blaOXA-48	blaOXA-48
blaOXA-48	blaOXA-484
blaOXA-48	blaOXA-505
blaOXA-48	blaOXA-514
blaOXA-48	blaOXA-515
blaOXA-48	blaOXA-517
blaOXA-48	blaOXA-519
blaOXA-48	blaOXA-535
blaOXA-48	blaOXA-538
blaOXA-48	blaOXA-54
blaOXA-48	blaOXA-546
blaOXA-48	blaOXA-547
blaOXA-48	blaOXA-566
blaOXA-48	blaOXA-567
blaOXA-48	blaOXA-731
blaOXA-48	blaOXA-788
blaOXA-48	blaOXA-793
blaOXA-48	blaOXA-833
blaOXA-48	blaOXA-894
blaOXA-48	blaOXA-918
blaOXA-48	blaOXA-920
blaOXA-48	blaOXA-922
blaOXA-48	blaOXA-923
blaOXA-48	blaOXA-924
blaOXA-48	blaOXA-929
blaOXA-48	blaOXA-933
blaOXA-48	blaOXA-934
blaOXA-58	blaOXA-164
blaOXA-58	blaOXA-397
blaOXA-58	blaOXA-420
blaOXA-58	blaOXA-512
blaOXA-58	blaOXA-58
blaOXA-58	blaOXA-96
blaOXA-58	blaOXA-97